,TCP UL/DL (Bytes),Avg RTT UL/DL (ms),Avg Bearer UL/DL (kbps),clusters
448,21569572.935152996,35.32576582180065,101.0,0
449,21569572.935152996,35.32576582180065,55.0,0
450,43139145.87030599,84.32576582180064,148.0,0
451,768900.6648110661,55.0,25838.0,0
452,21594397.935152996,84.0,58277.0,0
453,32935159.935152996,125.0,98401.0,0
454,21569572.935152996,35.32576582180065,124.0,0
455,21569572.935152996,66.0,2121.0,0
456,1906642.0,119.0,29173.0,0
457,43904124.53511706,191.0,17445.0,0
458,22851035.935152996,68.0,48593.0,0
459,21569572.935152996,29.0,75.0,0
460,21569572.935152996,253.0,823.0,0
461,44113672.53511706,143.0,40613.0,0
462,119828.0,78.0,28874.0,0
463,26754.0,109.0,53107.0,0
464,661409.0,699.0,9946.0,0
465,21569572.935152996,31.0,78.0,0
466,21569572.935152996,79.0,57.0,0
467,27909906.935152996,98.0,89325.0,0
468,21569572.935152996,29.0,80.0,0
469,21569572.935152996,98.0,89.0,0
470,21569572.935152996,48.0,63.0,0
471,14254521.0,91.0,52178.0,0
472,21569572.935152996,35.32576582180065,86.0,0
473,19264.0,198.0,18920.0,0
474,21589133.935152996,152.0,60215.0,0
475,21569572.935152996,29.0,99.0,0
476,21569572.935152996,29.0,93.0,0
477,22263849.27034193,239.0,25463.0,0
478,21569572.935152996,42.0,103.0,0
479,21569572.935152996,151.0,275.0,0
480,64708718.80545898,79.0,285.0,0
481,21760806.935152996,152.0,19494.0,0
482,64708718.80545898,92.0,251.0,0
483,42948.0,86.0,16628.0,0
484,21569572.935152996,35.32576582180065,63.0,0
485,21569572.935152996,35.32576582180065,96.0,0
486,43139145.87030599,76.0,185.0,0
487,21569572.935152996,53.0,85.0,0
488,168640.0,61.0,42243.0,0
489,43139145.87030599,84.32576582180064,3886.0,0
490,21569572.935152996,21.0,96.0,0
491,22330637.59996406,108.0,7920.0,0
492,2646120.0,85.0,40268.0,0
493,21569572.935152996,35.32576582180065,85.0,0
494,43139145.87030599,102.0,1080.0,0
495,1651348.0,192.0,63221.0,0
496,21569572.935152996,35.32576582180065,64.0,0
497,21569572.935152996,60.0,297.0,0
498,21569572.935152996,40.0,509.0,0
499,5145210.0,74.0,61360.0,0
500,21658974.935152996,73.0,49997.0,0
501,21569572.935152996,51.0,65.0,0
502,21569572.935152996,80.0,85.0,0
503,21569572.935152996,39.0,109.0,0
